Account Name,Billing Country,Industry,Parent Account,Account Owner
Hiscox,GB,Non-Life,,Jasper de Groot
Centraal Beheer,NL,Health,,Floor van der Berg
Caser,ES,Reinsurer,,Tim Kuijpers
Vienna Insurance Group,AT,Marine,,Marieke de Boer
Munich Re FR,FR,Non-Life,Munich Re,Iris Schoonhoven
Uniqa,AT,Marine,,Anouk de Groot
ChubB,CH,Marine,,Noah Bakker
Regional Insurer 146,DE,Composite,,Maud de Groot
Talanx,DE,Reinsurer,,Emma de Vries
Generali FR,FR,Specialty,Generali,Marieke Schaap
Zurich Insurance BE,BE,Non-Life,Zurich Insurance,Anna Koster
Zurich Insurance CZ,CZ,Specialty,Zurich Insurance,Iris Meijer
MMA,FR,Non-Life,,Joris van Dijk
Munich Re PL,PL,Composite,Munich Re,Maud van Dijk
Zurich Insurance FR,FR,Specialty,Zurich Insurance,Sophie Visser
Tryg,DK,Composite,,Eva Kuijpers
Admiral Group,GB,Specialty,,Jasper van Dijk
Ageas,BE,Life,,Emma Peters
Zurich Insurance IT,IT,Specialty,Zurich Insurance,Jasper van Leeuwen
Vittoria Assicurazioni,IT,Reinsurer,,Anna Jansen
Allianz NL,NL,Non-Life,Allianz,Sven Peters
Provinzial,DE,Marine,,Emma Peters
DKV Belgium,BE,Specialty,,Tim van den Heuvel
ABN AMRO Verzekeringen,NL,Health,,Bram van den Heuvel
Allianz Trade,FR,Health,,Lotte Peters
Swiss Re,CH,Health,,Stijn van der Berg
Markel,GB,Health,,Jasper Mulder
Achmea,NL,Health,,Sara Boersma
Santalucia,ES,Non-Life,,Sander van Leeuwen
Tokio Marine HCC,ES,Specialty,,Lucas Meijer
Generali CZ,CZ,Specialty,Generali,Marieke Boersma
DAS,NL,Health,,Stijn Boersma
Univé,NL,Life,,Bram de Groot
Munich Re BE,BE,Composite,Munich Re,Sara Boersma
Wuerttembergische,DE,Composite,,Lotte Hendriks
Lansforsakringar,SE,Health,,Emma Brouwer
MS Amlin,GB,Life,,Lisa de Boer
Generali Polska,PL,Health,,Sanne Peters
AXA AT,AT,Composite,AXA,Sven Boersma
Munich Re ES,ES,Composite,Munich Re,Lisa Mulder
AXA IT,IT,Specialty,AXA,Lucas van den Heuvel
Lloyd's of London,GB,Specialty,,Lara Hendriks
KBC,BE,Specialty,,Marieke de Groot
AXA DE,DE,Composite,AXA,Eva Schaap
Liberty Specialty Markets,GB,Reinsurer,,Niels Peters
MAIF,FR,Reinsurer,,Emma van den Heuvel
Unipol,IT,Life,,Marieke de Vries
AXA NL,NL,Non-Life,AXA,Thomas de Groot
Groupama Hungary,HU,Non-Life,,Sander Hofman
NN Group,NL,Non-Life,,Iris Jansen
AXA,FR,Life,AXA,Lotte van der Berg
Zurich Insurance DE,DE,Specialty,Zurich Insurance,Maud Peters
Generali ES,ES,Composite,Generali,Pieter van Leeuwen
AXA CZ,CZ,Composite,AXA,Thomas Hendriks
Munich Re AT,AT,Composite,Munich Re,Lara de Groot
Allianz Zagreb,HR,Marine,,Emma Kuijpers
ONVZ,NL,Composite,,Maud de Vries
Gjensidige,NO,Reinsurer,,Lara Peters
AG Insurance,BE,Specialty,,Maud Bakker
Allianz PL,PL,Composite,Allianz,Marieke van der Berg
Allianz IT,IT,Non-Life,Allianz,Pieter van den Heuvel
Prudential UK,GB,Specialty,,Thomas Wagemans
Aegon,NL,Composite,,Sven Schoonhoven
Signal Iduna,DE,Health,,Sven van den Heuvel
Zurich Insurance AT,AT,Composite,Zurich Insurance,Stijn Vos
Covea,FR,Marine,,Emma Kuijpers
Zurich Insurance PL,PL,Composite,Zurich Insurance,Floor van Dijk
Reale Mutua,IT,Composite,,Anna de Boer
De Goudse,NL,Marine,,Stijn van den Heuvel
Allianz BE,BE,Composite,Allianz,Wouter van den Heuvel
Coface,FR,Composite,,Sander van der Berg
Klaverblad,NL,Non-Life,,Sven Hendriks
Croatia osiguranje,HR,Marine,,Sophie Bos
TVM Verzekeringen,NL,Non-Life,,Floor de Boer
Munich Re CZ,CZ,Composite,Munich Re,Maud Boersma
Mapfre,ES,Reinsurer,,Pieter Dekker
Zurich Insurance ES,ES,Composite,Zurich Insurance,Joris Dekker
Compensa,PL,Marine,,Tim Schoonhoven
Munich Re NL,NL,Composite,Munich Re,Marc Boersma
Generali NL,NL,Non-Life,Generali,Sara van den Heuvel
